attom_id,fips,apn,address,postal1,state,latitude,longitude,property_type,year_built,beds,baths,sqft,lot_size,sale_amount,sale_date,sale_type,price_per_sqft,area_code,area_title,sale_year,sale_month,property_age,log_price_per_sqft
171183,45045,0230.00-07-020.00,"905 GORDON STREET EXT, GREENVILLE, SC 29611",29611.0,SC,34.837679,-82.447581,SFR,1950.0,3.0,2.0,1268.0,0.1600092,250000.0,2025-03-27,Resale,197.16,24860,"Greenville-Anderson-Greer, SC",2025,3,75.0,5.284015581837177
172586,45045,M008.01-01-132.00,"108 KINGSLEY DR, MAULDIN, SC 29662",29662.0,SC,34.785596,-82.31886,SFR,1972.0,4.0,3.0,2828.0,0.488,560000.0,2026-03-27,Resale,198.02,24860,"Greenville-Anderson-Greer, SC",2026,3,54.0,5.2883680356943685
183592,45045,0319.01-01-050.00,"121 DELMAR DR, SIMPSONVILLE, SC 29680",29680.0,SC,34.723747,-82.261498,SFR,1974.0,3.0,2.5,2185.0,0.363,295000.0,2024-07-27,Resale,135.01,24860,"Greenville-Anderson-Greer, SC",2024,7,50.0,4.905348849769155
183608,45045,0543.02-01-022.00,"205 REDCLIFFE RD, GREENVILLE, SC 29615",29615.0,SC,34.859065,-82.316145,SFR,1971.0,4.0,2.0,3144.0,1.001,850000.0,2024-06-03,Resale,270.36,24860,"Greenville-Anderson-Greer, SC",2024,6,53.0,5.599754404232153
192016,45045,0550.09-01-058.00,"8 DRAKEMONT CT, GREER, SC 29651",29651.0,SC,34.802309,-82.185726,MOBILE HOME,2000.0,3.0,2.0,2432.0,,285000.0,2025-02-26,Resale,117.19,24860,"Greenville-Anderson-Greer, SC",2025,2,25.0,4.763796549270511
195404,45045,M013.02-01-026.00,"12 FOWLER CIR, GREENVILLE, SC 29607",29607.0,SC,34.774282,-82.326234,SFR,1965.0,3.0,2.0,2200.0,0.9,368000.0,2025-07-28,Resale,167.27,24860,"Greenville-Anderson-Greer, SC",2025,7,60.0,5.119609273323918
196890,45045,M008.08-01-005.00,"3 CRESTBROOK DR, GREENVILLE, SC 29607",29607.0,SC,34.781624,-82.327342,SFR,2002.0,3.0,2.0,1703.0,0.1719927,299900.0,2024-08-05,Resale,176.1,24860,"Greenville-Anderson-Greer, SC",2024,8,22.0,5.17105201550216
196896,45045,0574.22-01-081.00,"1 DEPFORD CT, SIMPSONVILLE, SC 29680",29680.0,SC,34.724207,-82.302687,SFR,1998.0,3.0,2.0,1750.0,,178000.0,2025-08-29,Resale,101.71,24860,"Greenville-Anderson-Greer, SC",2025,8,27.0,4.622125626637505
199565,45045,0117.00-01-064.00,"226 VIRGINIA AVE, GREENVILLE, SC 29611",29611.0,SC,34.841843,-82.435354,SFR,1986.0,2.0,1.0,1040.0,0.2399908,190150.0,2024-08-01,Resale,182.84,24860,"Greenville-Anderson-Greer, SC",2024,8,38.0,5.2086114534635435
230386,45045,0379.00-04-010.00,"117 S ESTATE DR, GREENVILLE, SC 29605",29605.0,SC,34.780241,-82.379293,SFR,1955.0,3.0,1.0,924.0,0.2609963,225000.0,2025-03-12,Resale,243.51,24860,"Greenville-Anderson-Greer, SC",2025,3,70.0,5.495158009441194
230393,45045,0167.00-01-039.00,"209 VON HOLLEN DR, GREENVILLE, SC 29617",29617.0,SC,34.893564,-82.410488,DUPLEX,1950.0,3.0,2.0,1188.0,0.144146,165000.0,2025-10-30,Resale,138.89,24860,"Greenville-Anderson-Greer, SC",2025,10,75.0,4.9336822529281275
233177,45045,0153.01-01-012.00,"22 BUFF ST, GREENVILLE, SC 29609",29609.0,SC,34.87318,-82.415597,SFR,2001.0,3.0,2.0,1320.0,,165000.0,2024-08-29,Resale,125.0,24860,"Greenville-Anderson-Greer, SC",2024,8,23.0,4.8283137373023015
233189,45045,0337.02-01-042.00,"16 FAWNDALE LN, FOUNTAIN INN, SC 29644",29644.0,SC,34.69651,-82.224688,SFR,1999.0,3.0,2.0,1261.0,,275000.0,2024-03-27,Resale,218.08,24860,"Greenville-Anderson-Greer, SC",2024,3,25.0,5.384861967948223
235917,45045,0640.02-01-006.03,"540 MILFORD CHURCH RD, TAYLORS, SC 29687",29687.0,SC,34.978122,-82.310377,SFR,1963.0,3.0,2.0,1704.0,0.9,225000.0,2024-05-03,Resale,132.04,24860,"Greenville-Anderson-Greer, SC",2024,5,61.0,4.883104906984992
239563,45045,0640.13-01-005.00,"116 HOMES POND LN, TAYLORS, SC 29687",29687.0,SC,34.976705,-82.342986,MOBILE HOME,2002.0,3.0,2.0,1904.0,0.6699954,550000.0,2024-06-27,Resale,288.87,24860,"Greenville-Anderson-Greer, SC",2024,6,22.0,5.665976759920302
276212,45045,0226.00-07-009.00,"19 JAMISON ST, GREENVILLE, SC 29611",29611.0,SC,34.827475,-82.429898,SFR,1940.0,2.0,1.0,1120.0,0.174,249950.0,2026-05-20,Resale,223.17,24860,"Greenville-Anderson-Greer, SC",2026,5,86.0,5.407933812871359
278136,45045,B002.04-01-110.00,"110 ROYAL CT, GREENVILLE, SC 29611",29611.0,SC,34.85895,-82.477755,SFR,1981.0,2.0,3.0,1218.0,,185000.0,2024-02-23,Resale,151.89,24860,"Greenville-Anderson-Greer, SC",2024,2,43.0,5.023156574649928
314156,45045,0363.00-01-013.00,"103 CANNON AVE, FOUNTAIN INN, SC 29644",29644.0,SC,34.692442,-82.19602,SFR,1965.0,2.0,2.0,1186.0,0.2224518,290000.0,2024-07-17,Resale,244.52,24860,"Greenville-Anderson-Greer, SC",2024,7,59.0,5.499297105160525
357255,45045,0279.01-01-101.00,"114 BRIARVIEW CIR, GREENVILLE, SC 29615",29615.0,SC,34.865121,-82.351538,SFR,1983.0,2.0,3.0,1400.0,0.0219927,177000.0,2024-02-29,Resale,126.43,24860,"Greenville-Anderson-Greer, SC",2024,2,41.0,4.839688795323807
359390,45045,0035.00-02-011.00,"215 ELIZABETH ST, GREENVILLE, SC 29609",29609.0,SC,34.864072,-82.391542,SFR,1963.0,2.0,2.0,1379.0,0.1390037,429000.0,2025-01-30,Resale,311.09,24860,"Greenville-Anderson-Greer, SC",2025,1,62.0,5.740082259381818
361250,45045,0198.00-05-023.00,"113 ACKLEY RD, GREENVILLE, SC 29607",29607.0,SC,34.845068,-82.372644,SFR,1962.0,4.0,2.0,1687.0,0.5390037,460000.0,2024-08-02,Resale,272.67,24860,"Greenville-Anderson-Greer, SC",2024,8,62.0,5.608262272798789
365257,45045,0381.00-04-016.00,"27 TWIN SPRINGS DR, GREENVILLE, SC 29605",29605.0,SC,34.76429,-82.388379,SFR,1960.0,2.0,1.0,1190.0,0.2780073,180000.0,2024-05-13,Resale,151.26,24860,"Greenville-Anderson-Greer, SC",2024,5,64.0,5.019000210427883
365259,45045,0453.00-02-002.00,"1902 OLD PARKER RD, GREENVILLE, SC 29609",29609.0,SC,34.917016,-82.421275,SFR,1965.0,2.0,1.0,864.0,0.4050046,190000.0,2024-03-08,Resale,219.91,24860,"Greenville-Anderson-Greer, SC",2024,3,59.0,5.393218371742757
374951,45045,0548.08-01-040.00,"312 CLEVINGTON WAY, SIMPSONVILLE, SC 29681",29681.0,SC,34.784126,-82.23743,SFR,1992.0,4.0,3.0,3218.0,,460850.0,2025-02-05,Resale,143.21,24860,"Greenville-Anderson-Greer, SC",2025,2,33.0,4.9643120844906115
390695,45045,0010.00-01-092.00,"306 W PARK AVE, GREENVILLE, SC 29601",29601.0,SC,34.859473,-82.400388,SFR,1950.0,3.0,1.0,1206.0,0.1879936,380000.0,2025-01-08,Resale,315.09,24860,"Greenville-Anderson-Greer, SC",2025,1,75.0,5.752858312302793
394538,45045,0035.00-06-008.00,"204 E EARLE ST, GREENVILLE, SC 29609",29609.0,SC,34.861085,-82.388861,SFR,2005.0,4.0,4.0,5168.0,0.282989,1650000.0,2024-04-18,Resale,319.27,24860,"Greenville-Anderson-Greer, SC",2024,4,19.0,5.7660371397789225
394557,45045,0163.00-02-020.00,"5 BERKLEY AVE, GREENVILLE, SC 29609",29609.0,SC,34.883772,-82.419922,SFR,1963.0,3.0,2.0,1472.0,0.2611341,322500.0,2025-03-24,Resale,219.09,24860,"Greenville-Anderson-Greer, SC",2025,3,62.0,5.389482604300128
399224,45045,0548.39-01-043.00,"6 BATHURST LN, SIMPSONVILLE, SC 29681",29681.0,SC,34.787216,-82.226458,SFR,1999.0,3.0,2.0,1641.0,0.2,320000.0,2025-04-15,Resale,195.0,24860,"Greenville-Anderson-Greer, SC",2025,4,26.0,5.272999558563747
404605,45045,T008.02-01-019.00,"301 WOOD RIVER WAY, TAYLORS, SC 29687",29687.0,SC,34.930149,-82.301037,SFR,1998.0,3.0,3.0,2079.0,0.3600092,360000.0,2024-02-21,Resale,173.16,24860,"Greenville-Anderson-Greer, SC",2024,2,26.0,5.15421602257378
404610,45045,0373.00-05-006.28,"4 SNOWBIRD LN, GREENVILLE, SC 29605",29605.0,SC,34.785101,-82.38979,SFR,2000.0,3.0,2.0,1202.0,0.282989,231075.0,2024-09-09,Resale,192.24,24860,"Greenville-Anderson-Greer, SC",2024,9,24.0,5.258744591428213
404620,45045,0548.03-01-026.00,"1214 PLANTATION DR, SIMPSONVILLE, SC 29681",29681.0,SC,34.787594,-82.239483,SFR,1978.0,4.0,2.5,2492.0,0.304,505000.0,2026-03-03,Resale,202.65,24860,"Greenville-Anderson-Greer, SC",2026,3,48.0,5.311480353074318
407466,45045,0616.03-01-060.00,"11 LIBERTY ST, PIEDMONT, SC 29673",29673.0,SC,34.70218,-82.456182,SFR,1955.0,3.0,1.0,1747.0,,75000.0,2025-11-12,Resale,42.93,24860,"Greenville-Anderson-Greer, SC",2025,11,70.0,3.7595708822364693
419484,45045,0521.02-01-019.00,"160 CUNNINGHAM RD, TRAVELERS REST, SC 29690",29690.0,SC,35.016349,-82.459351,SFR,1965.0,2.0,2.0,1424.0,2.05,360000.0,2025-01-29,Resale,252.81,24860,"Greenville-Anderson-Greer, SC",2025,1,60.0,5.532638218452371
445035,45045,M007.02-01-060.00,"1 MARSH CREEK DR, MAULDIN, SC 29662",29662.0,SC,34.761574,-82.319323,SFR,2001.0,4.0,3.0,2352.0,,355000.0,2025-09-18,Resale,150.94,24860,"Greenville-Anderson-Greer, SC",2025,9,24.0,5.016882406856722
459803,45045,0379.00-02-040.00,"26 E FAIRFIELD RD, GREENVILLE, SC 29605",29605.0,SC,34.779364,-82.38028,SFR,1955.0,2.0,1.0,1071.0,0.2506887,220000.0,2024-10-30,Resale,205.42,24860,"Greenville-Anderson-Greer, SC",2024,10,69.0,5.325056663737659
474176,45045,0640.12-01-023.00,"107 WHILEAWAY CT, TAYLORS, SC 29687",29687.0,SC,34.978038,-82.338768,SFR,2000.0,3.0,2.0,2302.0,0.584,375000.0,2025-08-29,Resale,162.9,24860,"Greenville-Anderson-Greer, SC",2025,8,25.0,5.093136515607999
495103,45045,0360.01-01-016.00,"106 CATTERICK WAY, FOUNTAIN INN, SC 29644",29644.0,SC,34.70441,-82.190207,SFR,2005.0,3.0,3.0,2232.0,0.2660009,306277.0,2025-04-29,Resale,137.22,24860,"Greenville-Anderson-Greer, SC",2025,4,20.0,4.921585477262745
523687,45045,P016.02-01-049.00,"25 FORESTDALE DR, TAYLORS, SC 29687",29687.0,SC,34.889546,-82.326215,SFR,1950.0,3.0,2.0,1494.0,0.3213958,330000.0,2025-12-02,Resale,220.88,24860,"Greenville-Anderson-Greer, SC",2025,12,75.0,5.3976195676218985
531902,45045,0204.00-07-005.00,"109 E AUGUSTA PL, GREENVILLE, SC 29605",29605.0,SC,34.823534,-82.387761,SFR,1966.0,3.0,2.0,1723.0,0.3219927,825000.0,2025-05-19,Resale,478.82,24860,"Greenville-Anderson-Greer, SC",2025,5,59.0,6.171324743905833
541080,45045,0604.04-01-037.00,"8 WOODED GLENN CT, PELZER, SC 29669",29669.0,SC,34.643971,-82.390673,SFR,2001.0,4.0,3.0,3115.0,0.6129936,425000.0,2025-12-05,Resale,136.44,24860,"Greenville-Anderson-Greer, SC",2025,12,24.0,4.915884957550445
544313,45045,0538.01-01-051.00,"206 DELLROSE CIR, TAYLORS, SC 29687",29687.0,SC,34.888181,-82.314068,SFR,1967.0,4.0,2.0,3352.0,0.5129936,405000.0,2024-10-17,Resale,120.82,24860,"Greenville-Anderson-Greer, SC",2024,10,57.0,4.794301834710595
548757,45045,0194.00-01-010.01,"562 LOWNDES HILL RD, GREENVILLE, SC 29607",29607.0,SC,34.853342,-82.365463,SFR,1920.0,3.0,2.0,1848.0,0.417011,300000.0,2025-09-29,Resale,162.34,24860,"Greenville-Anderson-Greer, SC",2025,9,105.0,5.08969290133303
556526,45045,0507.05-01-014.00,"413 BRADEN CT, GREENVILLE, SC 29617",29617.0,SC,34.919931,-82.473563,SFR,2003.0,3.0,2.0,1460.0,0.292,145250.0,2026-04-16,Resale,99.49,24860,"Greenville-Anderson-Greer, SC",2026,4,23.0,4.600057136601269
590012,45045,0548.40-01-071.00,"202 WOODRUFF PARK LN, SIMPSONVILLE, SC 29681",29681.0,SC,34.803212,-82.235572,SFR,1999.0,3.0,2.0,1276.0,0.069,239000.0,2026-04-10,Resale,187.3,24860,"Greenville-Anderson-Greer, SC",2026,4,27.0,5.2327116094500425
590021,45045,T035.04-01-036.00,"2 KINGSCREEK DR, GREER, SC 29650",29650.0,SC,34.91666,-82.254506,SFR,2001.0,3.0,3.0,2016.0,,270000.0,2024-09-25,Resale,133.93,24860,"Greenville-Anderson-Greer, SC",2024,9,23.0,4.897317275399031
591263,45045,0290.00-01-003.12,"1816 BETHEL RD, SIMPSONVILLE, SC 29681",29681.0,SC,34.778781,-82.277595,SFR,1997.0,5.0,4.0,2515.0,0.78,330000.0,2026-02-13,Resale,131.21,24860,"Greenville-Anderson-Greer, SC",2026,2,29.0,4.876799093117625
591268,45045,T023.00-01-051.00,"109 LAKESIDE DR, TAYLORS, SC 29687",29687.0,SC,34.952961,-82.313923,MOBILE HOME,2000.0,3.0,2.0,1960.0,0.629,212750.0,2024-05-15,Resale,108.55,24860,"Greenville-Anderson-Greer, SC",2024,5,24.0,4.6872108963243
591280,45045,0624.09-01-012.05,"1015 BUTTER ST, LANDRUM, SC 29356",29356.0,SC,35.183807,-82.227906,MOBILE HOME,1995.0,3.0,2.0,1568.0,1.1,174900.0,2025-08-06,Resale,111.54,24860,"Greenville-Anderson-Greer, SC",2025,8,30.0,4.714383270961408
591283,45045,0574.24-01-026.00,"210 GROTON CT, SIMPSONVILLE, SC 29680",29680.0,SC,34.711607,-82.30013,SFR,2001.0,3.0,3.0,2381.0,0.2910009,395000.0,2025-04-28,Resale,165.9,24860,"Greenville-Anderson-Greer, SC",2025,4,24.0,5.111385197196399
592568,45045,0198.00-04-012.11,"15 HALEY CT, GREENVILLE, SC 29607",29607.0,SC,34.84553,-82.368112,SFR,1996.0,3.0,2.0,1391.0,0.14,247000.0,2025-05-20,Resale,177.57,24860,"Greenville-Anderson-Greer, SC",2025,5,29.0,5.179364897370744
597281,45045,0575.18-01-011.00,"22 DAPPLE GRAY CT, SIMPSONVILLE, SC 29680",29680.0,SC,34.710327,-82.284331,SFR,2001.0,3.0,3.0,2880.0,,495000.0,2024-08-16,Resale,171.88,24860,"Greenville-Anderson-Greer, SC",2024,8,23.0,5.146796558906795
597291,45045,0377.00-07-023.00,"220 PINEFIELD DR, GREENVILLE, SC 29605",29605.0,SC,34.780456,-82.386182,SFR,1965.0,3.0,1.5,924.0,0.244,93000.0,2026-03-17,Construction Loan/Financing,100.65,24860,"Greenville-Anderson-Greer, SC",2026,3,61.0,4.611649152085801
603130,45045,0539.12-01-028.00,"205 WEATHERBY DR, GREENVILLE, SC 29615",29615.0,SC,34.836435,-82.255744,SFR,1985.0,3.0,4.0,3512.0,,1050000.0,2025-09-22,Resale,298.97,24860,"Greenville-Anderson-Greer, SC",2025,9,40.0,5.700343233908688
604100,45045,M006.02-01-118.00,"108 PINEHURST DR, MAULDIN, SC 29662",29662.0,SC,34.772612,-82.305522,SFR,1969.0,3.0,2.0,1380.0,0.33,280000.0,2025-12-04,Resale,202.9,24860,"Greenville-Anderson-Greer, SC",2025,12,56.0,5.312713246831769
605635,45045,0117.00-10-006.00,"67 DORSEY AVE, GREENVILLE, SC 29611",29611.0,SC,34.838875,-82.430259,RESIDENTIAL - VACANT LAND,1945.0,2.0,1.0,1029.0,0.187,100000.0,2025-01-22,Resale,97.18,24860,"Greenville-Anderson-Greer, SC",2025,1,80.0,4.576564928977757
614425,45045,0246.01-01-046.00,"7 CHANNEL DR, GREENVILLE, SC 29611",29611.0,SC,34.812604,-82.471508,MOBILE HOME,1998.0,3.0,2.0,1960.0,0.3,315000.0,2024-07-08,Resale,160.71,24860,"Greenville-Anderson-Greer, SC",2024,7,26.0,5.0796014985609785
619052,45045,0585.06-01-017.00,"2537 W GEORGIA RD, PIEDMONT, SC 29673",29673.0,SC,34.687254,-82.34149,SFR,2002.0,3.0,2.0,1872.0,0.7620064,325000.0,2025-03-25,Resale,173.61,24860,"Greenville-Anderson-Greer, SC",2025,3,23.0,5.156811404253857
633855,45045,0513.02-01-104.01,"115 ALTA VISTA CIR, TRAVELERS REST, SC 29690",29690.0,SC,34.994072,-82.486641,SFR,1967.0,3.0,2.0,1823.0,0.8899908,320000.0,2024-06-07,Resale,175.53,24860,"Greenville-Anderson-Greer, SC",2024,6,57.0,5.167809968468254
634799,45045,0117.00-04-015.00,"2 WEST AVE, GREENVILLE, SC 29611",29611.0,SC,34.837713,-82.432812,SFR,1955.0,3.0,1.0,1580.0,0.2350092,156500.0,2024-05-21,Resale,99.05,24860,"Greenville-Anderson-Greer, SC",2024,5,69.0,4.59562477314456
677306,45045,T021.05-01-035.00,"111 N SILVER BEECH LN, GREER, SC 29651",29651.0,SC,34.965787,-82.29098,SFR,1997.0,4.0,2.5,3322.0,0.86,535000.0,2024-04-11,Resale,161.05,24860,"Greenville-Anderson-Greer, SC",2024,4,27.0,5.081714875777208
688312,45045,0543.07-01-023.00,"12 INDEPENDENCE DR, GREENVILLE, SC 29615",29615.0,SC,34.864087,-82.325291,SFR,1969.0,5.0,3.0,2692.0,0.6887052,690000.0,2024-10-25,Resale,256.32,24860,"Greenville-Anderson-Greer, SC",2024,10,55.0,5.546426663879994
692859,45045,0241.00-09-008.00,"203 MARY ST, GREENVILLE, SC 29611",29611.0,SC,34.829929,-82.441499,SFR,1980.0,3.0,2.0,1392.0,0.3801653,253500.0,2024-07-31,Resale,182.11,24860,"Greenville-Anderson-Greer, SC",2024,7,44.0,5.2046109001077285
715084,45045,0201.00-05-010.00,"23 BRIDWELL AVE, GREENVILLE, SC 29607",29607.0,SC,34.838528,-82.376551,SFR,1940.0,3.0,1.0,1000.0,0.0989899,253000.0,2025-04-14,Resale,253.0,24860,"Greenville-Anderson-Greer, SC",2025,4,85.0,5.53338948872752
715088,45045,0548.28-01-060.00,"313 ASHRIDGE WAY, SIMPSONVILLE, SC 29681",29681.0,SC,34.800322,-82.219352,SFR,1998.0,3.0,3.0,1634.0,,274000.0,2025-04-16,Resale,167.69,24860,"Greenville-Anderson-Greer, SC",2025,4,27.0,5.122117036759018
716034,45045,0117.00-05-034.00,"18 SPRINGSIDE AVE, GREENVILLE, SC 29611",29611.0,SC,34.839286,-82.43244,SFR,1966.0,2.0,1.0,876.0,0.2117769,368000.0,2025-08-28,Resale,420.09,24860,"Greenville-Anderson-Greer, SC",2025,8,59.0,6.040468974035796
723113,45045,0540.08-01-099.00,"308 SEABURY DR, GREENVILLE, SC 29615",29615.0,SC,34.860924,-82.308935,SFR,1996.0,3.0,3.0,2827.0,,530000.0,2025-10-30,Resale,187.48,24860,"Greenville-Anderson-Greer, SC",2025,10,29.0,5.233672173054505
723114,45045,0541.00-01-085.00,"3706 E NORTH ST, GREENVILLE, SC 29615",29615.0,SC,34.870869,-82.326159,SFR,1972.0,2.0,1.0,860.0,,70727.0,2025-07-24,Resale,82.24,24860,"Greenville-Anderson-Greer, SC",2025,7,53.0,4.409641801706855
723122,45045,0240.01-01-078.01,"12 TANGLEWOOD DR, GREENVILLE, SC 29611",29611.0,SC,34.82504,-82.456437,SFR,1998.0,3.0,4.0,2992.0,1.54,475900.0,2024-12-10,Resale,159.06,24860,"Greenville-Anderson-Greer, SC",2024,12,26.0,5.069281489528989
762570,45045,0559.10-01-007.00,"812 PALOMINO CT, SIMPSONVILLE, SC 29681",29681.0,SC,34.778837,-82.220962,SFR,2000.0,3.0,2.0,1630.0,0.2679982,329000.0,2025-04-18,Resale,201.84,24860,"Greenville-Anderson-Greer, SC",2025,4,25.0,5.307475304332803
791689,45045,T034.01-05-011.00,"201 PRYOR RD, TAYLORS, SC 29687",29687.0,SC,34.912536,-82.294909,SFR,1972.0,4.0,3.0,1995.0,0.4407713,245000.0,2024-04-15,Resale,122.81,24860,"Greenville-Anderson-Greer, SC",2024,4,52.0,4.810638445622293
797320,45045,0166.00-02-004.00,"215 DUKELAND DR, GREENVILLE, SC 29617",29617.0,SC,34.893201,-82.413236,SFR,1971.0,3.0,1.0,1643.0,0.4318182,146000.0,2024-04-02,Resale,88.86,24860,"Greenville-Anderson-Greer, SC",2024,4,53.0,4.487062097507763
797330,45045,0439.00-01-004.00,"601 TINDAL RD, GREENVILLE, SC 29617",29617.0,SC,34.899569,-82.415506,SFR,1953.0,2.0,1.5,1659.0,0.258,450000.0,2026-03-18,Resale,271.25,24860,"Greenville-Anderson-Greer, SC",2026,3,73.0,5.603040904854669
797331,45045,0439.00-01-005.00,"603 TINDAL RD, GREENVILLE, SC 29617",29617.0,SC,34.899741,-82.415589,SFR,1966.0,3.0,1.0,1290.0,0.268,450000.0,2026-03-18,Resale,348.84,24860,"Greenville-Anderson-Greer, SC",2026,3,60.0,5.8546133643587845
797332,45045,0439.00-01-006.00,"605 TINDAL RD, GREENVILLE, SC 29617",29617.0,SC,34.899915,-82.415638,SFR,1966.0,3.0,1.5,1298.0,0.318,450000.0,2026-03-18,Resale,346.69,24860,"Greenville-Anderson-Greer, SC",2026,3,60.0,5.848431008894555
797338,45045,0439.00-02-030.00,"136 WOODLAND DR, GREENVILLE, SC 29617",29617.0,SC,34.898756,-82.41776,SFR,1966.0,2.0,1.0,858.0,0.3,180000.0,2026-02-18,Resale,209.79,24860,"Greenville-Anderson-Greer, SC",2026,2,60.0,5.346107030383885
1060582,45045,0559.10-01-011.00,"820 PALOMINO CT, SIMPSONVILLE, SC 29681",29681.0,SC,34.779663,-82.220804,SFR,2000.0,4.0,2.0,2113.0,0.2730028,335000.0,2024-08-14,Resale,158.54,24860,"Greenville-Anderson-Greer, SC",2024,8,24.0,5.06600692740901
1205580,45045,0169.00-01-003.00,"4 PARIS MOUNTAIN AVE, GREENVILLE, SC 29609",29609.0,SC,34.888587,-82.415285,SFR,1966.0,2.0,2.0,1770.0,0.2672176,350000.0,2025-09-25,Resale,197.74,24860,"Greenville-Anderson-Greer, SC",2025,9,59.0,5.2869530364689865
1205589,45045,0164.00-06-016.00,"105 RUTLEDGE AVE, GREENVILLE, SC 29617",29617.0,SC,34.888782,-82.421769,SFR,1963.0,3.0,1.0,1260.0,0.202,289000.0,2026-05-18,Resale,229.37,24860,"Greenville-Anderson-Greer, SC",2026,5,63.0,5.4353364202061245
1205605,45045,0604.04-01-028.00,"213 ELLEN WOODSIDE ST, PELZER, SC 29669",29669.0,SC,34.64515,-82.389898,SFR,2003.0,3.0,3.0,1464.0,0.7230028,322000.0,2024-05-28,Resale,219.95,24860,"Greenville-Anderson-Greer, SC",2024,5,21.0,5.3934002477947285
1206688,45045,0252.00-01-008.03,"114 SANDRA AVE, GREENVILLE, SC 29611",29611.0,SC,34.804715,-82.436321,COMMERCIAL (NEC),1940.0,3.0,1.0,1199.0,0.5019972,2075000.0,2024-08-27,Resale,1730.61,24860,"Greenville-Anderson-Greer, SC",2024,8,84.0,7.456229226498715
1208544,45045,0266.00-01-004.18,"423 WILLOW SPRINGS DR, GREENVILLE, SC 29607",29607.0,SC,34.832944,-82.361931,SFR,1972.0,3.0,2.0,1512.0,0.3289945,470000.0,2025-10-22,Resale,310.85,24860,"Greenville-Anderson-Greer, SC",2025,10,53.0,5.739310480715346
1208549,45045,0264.00-04-009.00,"206 WILLOW SPRINGS DR, GREENVILLE, SC 29607",29607.0,SC,34.832656,-82.357517,SFR,1972.0,3.0,2.0,1290.0,0.2149908,507600.0,2025-06-16,Resale,393.49,24860,"Greenville-Anderson-Greer, SC",2025,6,53.0,5.975055654573933
